doc_title,para_num,sentence_num,token_num,pos_tuple,pos,token_str,term_str,pos_group,n_char
ASHPUTTEL,0,0,0,"('The', 'DT')",DT,The,the,DT,3
ASHPUTTEL,0,0,1,"('wife', 'NN')",NN,wife,wife,NN,4
ASHPUTTEL,0,0,2,"('of', 'IN')",IN,of,of,IN,2
ASHPUTTEL,0,0,3,"('a', 'DT')",DT,a,a,DT,1
ASHPUTTEL,0,0,4,"('rich', 'JJ')",JJ,rich,rich,JJ,4
ASHPUTTEL,0,0,5,"('man', 'NN')",NN,man,man,NN,3
ASHPUTTEL,0,0,6,"('fell', 'VBD')",VBD,fell,fell,VB,4
ASHPUTTEL,0,0,7,"('sick', 'JJ')",JJ,sick,sick,JJ,4
ASHPUTTEL,0,1,0,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,0,1,1,"('when', 'WRB')",WRB,when,when,WR,4
ASHPUTTEL,0,1,2,"('she', 'PRP')",PRP,she,she,PR,3
ASHPUTTEL,0,1,3,"('felt', 'VBD')",VBD,felt,felt,VB,4
ASHPUTTEL,0,1,4,"('that', 'IN')",IN,that,that,IN,4
ASHPUTTEL,0,1,5,"('her', 'PRP$')",PRP$,her,her,PR,3
ASHPUTTEL,0,1,6,"('end', 'NN')",NN,end,end,NN,3
ASHPUTTEL,0,1,7,"('drew', 'NN')",NN,drew,drew,NN,4
ASHPUTTEL,0,1,8,"('nigh', 'JJ')",JJ,nigh,nigh,JJ,4
ASHPUTTEL,0,1,9,"(',', ',')",",",",",,",",1
ASHPUTTEL,0,1,10,"('she', 'PRP')",PRP,she,she,PR,3
ASHPUTTEL,0,1,11,"('called', 'VBD')",VBD,called,called,VB,6
ASHPUTTEL,0,1,12,"('her', 'PRP')",PRP,her,her,PR,3
ASHPUTTEL,0,1,13,"('only', 'RB')",RB,only,only,RB,4
ASHPUTTEL,0,1,14,"('daughter', 'NN')",NN,daughter,daughter,NN,8
ASHPUTTEL,0,1,15,"('to', 'TO')",TO,to,to,TO,2
ASHPUTTEL,0,1,16,"('her', 'PRP$')",PRP$,her,her,PR,3
ASHPUTTEL,0,1,17,"('bed-side', 'JJ')",JJ,bed-side,bedside,JJ,8
ASHPUTTEL,0,1,18,"(',', ',')",",",",",,",",1
ASHPUTTEL,0,1,19,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,0,1,20,"('said', 'VBD')",VBD,said,said,VB,4
ASHPUTTEL,0,1,21,"(',', ',')",",",",",,",",1
ASHPUTTEL,0,1,22,"('‘', 'NNP')",NNP,‘,,NN,1
ASHPUTTEL,0,1,23,"('Always', 'NNP')",NNP,Always,always,NN,6
ASHPUTTEL,0,1,24,"('be', 'VB')",VB,be,be,VB,2
ASHPUTTEL,0,1,25,"('a', 'DT')",DT,a,a,DT,1
ASHPUTTEL,0,1,26,"('good', 'JJ')",JJ,good,good,JJ,4
ASHPUTTEL,0,1,27,"('girl', 'NN')",NN,girl,girl,NN,4
ASHPUTTEL,0,1,28,"(',', ',')",",",",",,",",1
ASHPUTTEL,0,1,29,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,0,1,30,"('I', 'PRP')",PRP,I,i,PR,1
ASHPUTTEL,0,1,31,"('will', 'MD')",MD,will,will,MD,4
ASHPUTTEL,0,1,32,"('look', 'VB')",VB,look,look,VB,4
ASHPUTTEL,0,1,33,"('down', 'RP')",RP,down,down,RP,4
ASHPUTTEL,0,1,34,"('from', 'IN')",IN,from,from,IN,4
ASHPUTTEL,0,1,35,"('heaven', 'JJ')",JJ,heaven,heaven,JJ,6
ASHPUTTEL,0,1,36,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,0,1,37,"('watch', 'NN')",NN,watch,watch,NN,5
ASHPUTTEL,0,1,38,"('over', 'IN')",IN,over,over,IN,4
ASHPUTTEL,0,1,39,"('you', 'PRP')",PRP,you,you,PR,3
ASHPUTTEL,0,2,0,"('’', 'RB')",RB,’,,RB,1
ASHPUTTEL,0,2,1,"('Soon', 'NNP')",NNP,Soon,soon,NN,4
ASHPUTTEL,0,2,2,"('afterwards', 'NNS')",NNS,afterwards,afterwards,NN,10
ASHPUTTEL,0,2,3,"('she', 'PRP')",PRP,she,she,PR,3
ASHPUTTEL,0,2,4,"('shut', 'VBD')",VBD,shut,shut,VB,4
ASHPUTTEL,0,2,5,"('her', 'PRP')",PRP,her,her,PR,3
ASHPUTTEL,0,2,6,"('eyes', 'NNS')",NNS,eyes,eyes,NN,4
ASHPUTTEL,0,2,7,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,0,2,8,"('died', 'VBD')",VBD,died,died,VB,4
ASHPUTTEL,0,2,9,"(',', ',')",",",",",,",",1
ASHPUTTEL,0,2,10,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,0,2,11,"('was', 'VBD')",VBD,was,was,VB,3
ASHPUTTEL,0,2,12,"('buried', 'VBN')",VBN,buried,buried,VB,6
ASHPUTTEL,0,2,13,"('in', 'IN')",IN,in,in,IN,2
ASHPUTTEL,0,2,14,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,0,2,15,"('garden', 'NN')",NN,garden,garden,NN,6
ASHPUTTEL,0,3,0,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,0,3,1,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,0,3,2,"('little', 'JJ')",JJ,little,little,JJ,6
ASHPUTTEL,0,3,3,"('girl', 'JJ')",JJ,girl,girl,JJ,4
ASHPUTTEL,0,3,4,"('went', 'VBD')",VBD,went,went,VB,4
ASHPUTTEL,0,3,5,"('every', 'DT')",DT,every,every,DT,5
ASHPUTTEL,0,3,6,"('day', 'NN')",NN,day,day,NN,3
ASHPUTTEL,0,3,7,"('to', 'TO')",TO,to,to,TO,2
ASHPUTTEL,0,3,8,"('her', 'PRP$')",PRP$,her,her,PR,3
ASHPUTTEL,0,3,9,"('grave', 'NN')",NN,grave,grave,NN,5
ASHPUTTEL,0,3,10,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,0,3,11,"('wept', 'NN')",NN,wept,wept,NN,4
ASHPUTTEL,0,3,12,"(',', ',')",",",",",,",",1
ASHPUTTEL,0,3,13,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,0,3,14,"('was', 'VBD')",VBD,was,was,VB,3
ASHPUTTEL,0,3,15,"('always', 'RB')",RB,always,always,RB,6
ASHPUTTEL,0,3,16,"('good', 'JJ')",JJ,good,good,JJ,4
ASHPUTTEL,0,3,17,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,0,3,18,"('kind', 'NN')",NN,kind,kind,NN,4
ASHPUTTEL,0,3,19,"('to', 'TO')",TO,to,to,TO,2
ASHPUTTEL,0,3,20,"('all', 'DT')",DT,all,all,DT,3
ASHPUTTEL,0,3,21,"('about', 'IN')",IN,about,about,IN,5
ASHPUTTEL,0,3,22,"('her', 'PRP$')",PRP$,her,her,PR,3
ASHPUTTEL,0,4,0,"('And', 'CC')",CC,And,and,CC,3
ASHPUTTEL,0,4,1,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,0,4,2,"('snow', 'NN')",NN,snow,snow,NN,4
ASHPUTTEL,0,4,3,"('fell', 'VBD')",VBD,fell,fell,VB,4
ASHPUTTEL,0,4,4,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,0,4,5,"('spread', 'VBD')",VBD,spread,spread,VB,6
ASHPUTTEL,0,4,6,"('a', 'DT')",DT,a,a,DT,1
ASHPUTTEL,0,4,7,"('beautiful', 'JJ')",JJ,beautiful,beautiful,JJ,9
ASHPUTTEL,0,4,8,"('white', 'JJ')",JJ,white,white,JJ,5
ASHPUTTEL,0,4,9,"('covering', 'NN')",NN,covering,covering,NN,8
ASHPUTTEL,0,4,10,"('over', 'IN')",IN,over,over,IN,4
ASHPUTTEL,0,4,11,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,0,4,12,"('grave', 'NN')",NN,grave,grave,NN,5
ASHPUTTEL,0,5,0,"('but', 'CC')",CC,but,but,CC,3
ASHPUTTEL,0,5,1,"('by', 'IN')",IN,by,by,IN,2
ASHPUTTEL,0,5,2,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,0,5,3,"('time', 'NN')",NN,time,time,NN,4
ASHPUTTEL,0,5,4,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,0,5,5,"('spring', 'NN')",NN,spring,spring,NN,6
ASHPUTTEL,0,5,6,"('came', 'VBD')",VBD,came,came,VB,4
ASHPUTTEL,0,5,7,"(',', ',')",",",",",,",",1
ASHPUTTEL,0,5,8,"('and', 'CC')",CC,and,and,CC,3
ASHPUTTEL,0,5,9,"('the', 'DT')",DT,the,the,DT,3
ASHPUTTEL,0,5,10,"('sun', 'NN')",NN,sun,sun,NN,3
