doc_title,chunk_id,token_id,pos_tuple,pos,token_str,term_str,pos_group
ASHPUTTEL,0,0,"('the', 'DT')",DT,the,the,DT
ASHPUTTEL,0,1,"('wife', 'NN')",NN,wife,wife,NN
ASHPUTTEL,0,2,"('of', 'IN')",IN,of,of,IN
ASHPUTTEL,0,3,"('a', 'DT')",DT,a,a,DT
ASHPUTTEL,0,4,"('rich', 'JJ')",JJ,rich,rich,JJ
ASHPUTTEL,0,5,"('man', 'NN')",NN,man,man,NN
ASHPUTTEL,0,6,"('fell', 'VBD')",VBD,fell,fell,VB
ASHPUTTEL,0,7,"('sick', 'JJ')",JJ,sick,sick,JJ
ASHPUTTEL,0,8,"('and', 'CC')",CC,and,and,CC
ASHPUTTEL,0,9,"('when', 'WRB')",WRB,when,when,WR
ASHPUTTEL,0,10,"('she', 'PRP')",PRP,she,she,PR
ASHPUTTEL,0,11,"('felt', 'VBD')",VBD,felt,felt,VB
ASHPUTTEL,0,12,"('that', 'IN')",IN,that,that,IN
ASHPUTTEL,0,13,"('her', 'PRP$')",PRP$,her,her,PR
ASHPUTTEL,0,14,"('end', 'NN')",NN,end,end,NN
ASHPUTTEL,0,15,"('drew', 'NN')",NN,drew,drew,NN
ASHPUTTEL,0,16,"('nigh', 'JJ')",JJ,nigh,nigh,JJ
ASHPUTTEL,0,17,"('she', 'PRP')",PRP,she,she,PR
ASHPUTTEL,0,18,"('called', 'VBD')",VBD,called,called,VB
ASHPUTTEL,0,19,"('her', 'PRP')",PRP,her,her,PR
ASHPUTTEL,0,20,"('only', 'RB')",RB,only,only,RB
ASHPUTTEL,0,21,"('daughter', 'NN')",NN,daughter,daughter,NN
ASHPUTTEL,0,22,"('to', 'TO')",TO,to,to,TO
ASHPUTTEL,0,23,"('her', 'PRP$')",PRP$,her,her,PR
ASHPUTTEL,0,24,"('bedside', 'NN')",NN,bedside,bedside,NN
ASHPUTTEL,0,25,"('and', 'CC')",CC,and,and,CC
ASHPUTTEL,0,26,"('said', 'VBD')",VBD,said,said,VB
ASHPUTTEL,0,27,"('always', 'RB')",RB,always,always,RB
ASHPUTTEL,0,28,"('be', 'VB')",VB,be,be,VB
ASHPUTTEL,0,29,"('a', 'DT')",DT,a,a,DT
ASHPUTTEL,0,30,"('good', 'JJ')",JJ,good,good,JJ
ASHPUTTEL,0,31,"('girl', 'NN')",NN,girl,girl,NN
ASHPUTTEL,0,32,"('and', 'CC')",CC,and,and,CC
ASHPUTTEL,0,33,"('i', 'NN')",NN,i,i,NN
ASHPUTTEL,0,34,"('will', 'MD')",MD,will,will,MD
ASHPUTTEL,0,35,"('look', 'VB')",VB,look,look,VB
ASHPUTTEL,0,36,"('down', 'RP')",RP,down,down,RP
ASHPUTTEL,0,37,"('from', 'IN')",IN,from,from,IN
ASHPUTTEL,0,38,"('heaven', 'JJ')",JJ,heaven,heaven,JJ
ASHPUTTEL,0,39,"('and', 'CC')",CC,and,and,CC
ASHPUTTEL,0,40,"('watch', 'NN')",NN,watch,watch,NN
ASHPUTTEL,0,41,"('over', 'IN')",IN,over,over,IN
ASHPUTTEL,0,42,"('you', 'PRP')",PRP,you,you,PR
ASHPUTTEL,0,43,"('soon', 'RB')",RB,soon,soon,RB
ASHPUTTEL,0,44,"('afterwards', 'NNS')",NNS,afterwards,afterwards,NN
ASHPUTTEL,0,45,"('she', 'PRP')",PRP,she,she,PR
ASHPUTTEL,0,46,"('shut', 'VBD')",VBD,shut,shut,VB
ASHPUTTEL,0,47,"('her', 'PRP')",PRP,her,her,PR
ASHPUTTEL,0,48,"('eyes', 'NNS')",NNS,eyes,eyes,NN
ASHPUTTEL,0,49,"('and', 'CC')",CC,and,and,CC
ASHPUTTEL,0,50,"('died', 'VBD')",VBD,died,died,VB
ASHPUTTEL,0,51,"('and', 'CC')",CC,and,and,CC
ASHPUTTEL,0,52,"('was', 'VBD')",VBD,was,was,VB
